BusinessEntityID,FirstName,LastName,Name,PhoneNumber,EmailAddress,JobTitle,MaritalStatus,Gender
1,Ken,Sánchez,0,697-555-0142,ken0@adventure-works.com,Chief Executive Officer,S,M
2,Terri,Duffy,0,819-555-0175,terri0@adventure-works.com,Vice President of Engineering,S,F
3,Roberto,Tamburello,0,212-555-0187,roberto0@adventure-works.com,Engineering Manager,M,M
4,Rob,Walters,0,612-555-0100,rob0@adventure-works.com,Senior Tool Designer,S,M
5,Gail,Erickson,0,849-555-0139,gail0@adventure-works.com,Design Engineer,M,F
6,Jossef,Goldberg,0,122-555-0189,jossef0@adventure-works.com,Design Engineer,M,M
7,Dylan,Miller,0,181-555-0156,dylan0@adventure-works.com,Research and Development Manager,M,M
8,Diane,Margheim,0,815-555-0138,diane1@adventure-works.com,Research and Development Engineer,S,F
9,Gigi,Matthew,0,185-555-0186,gigi0@adventure-works.com,Research and Development Engineer,M,F
10,Michael,Raheem,0,330-555-2568,michael6@adventure-works.com,Research and Development Manager,M,M
11,Ovidiu,Cracium,0,719-555-0181,ovidiu0@adventure-works.com,Senior Tool Designer,S,M
12,Thierry,D'Hers,0,168-555-0183,thierry0@adventure-works.com,Tool Designer,M,M
13,Janice,Galvin,0,473-555-0117,janice0@adventure-works.com,Tool Designer,M,F
14,Michael,Sullivan,0,465-555-0156,michael8@adventure-works.com,Senior Design Engineer,S,M
15,Sharon,Salavaria,0,970-555-0138,sharon0@adventure-works.com,Design Engineer,M,F
16,David,Bradley,0,913-555-0172,david0@adventure-works.com,Marketing Manager,S,M
17,Kevin,Brown,0,150-555-0189,kevin0@adventure-works.com,Marketing Assistant,S,M
18,John,Wood,0,486-555-0150,john5@adventure-works.com,Marketing Specialist,S,M
19,Mary,Dempsey,0,124-555-0114,mary2@adventure-works.com,Marketing Assistant,S,F
20,Wanida,Benshoof,0,708-555-0141,wanida0@adventure-works.com,Marketing Assistant,M,F
21,Terry,Eminhizer,0,138-555-0118,terry0@adventure-works.com,Marketing Specialist,M,M
22,Sariya,Harnpadoungsataya,0,399-555-0176,sariya0@adventure-works.com,Marketing Specialist,S,M
23,Mary,Gibson,0,531-555-0183,mary0@adventure-works.com,Marketing Specialist,M,F
24,Jill,Williams,0,510-555-0121,jill0@adventure-works.com,Marketing Specialist,M,F
25,James,Hamilton,0,870-555-0122,james1@adventure-works.com,Vice President of Production,S,M
26,Peter,Krebs,0,913-555-0196,peter0@adventure-works.com,Production Control Manager,M,M
27,Jo,Brown,0,632-555-0129,jo0@adventure-works.com,Production Supervisor - WC60,S,F
28,Guy,Gilbert,0,320-555-0195,guy1@adventure-works.com,Production Technician - WC60,M,M
29,Mark,McArthur,0,417-555-0154,mark1@adventure-works.com,Production Technician - WC60,S,M
30,Britta,Simon,0,955-555-0169,britta0@adventure-works.com,Production Technician - WC60,M,F
31,Margie,Shoop,0,818-555-0128,margie0@adventure-works.com,Production Technician - WC60,M,F
32,Rebecca,Laszlo,0,314-555-0113,rebecca0@adventure-works.com,Production Technician - WC60,M,F
33,Annik,Stahl,0,499-555-0125,annik0@adventure-works.com,Production Technician - WC60,M,M
34,Suchitra,Mohan,0,753-555-0129,suchitra0@adventure-works.com,Production Technician - WC60,M,F
35,Brandon,Heidepriem,0,429-555-0137,brandon0@adventure-works.com,Production Technician - WC60,M,M
36,Jose,Lugo,0,587-555-0115,jose0@adventure-works.com,Production Technician - WC60,M,M
37,Chris,Okelberry,0,315-555-0144,chris2@adventure-works.com,Production Technician - WC60,S,M
38,Kim,Abercrombie,0,208-555-0114,kim1@adventure-works.com,Production Technician - WC60,M,F
39,Ed,Dudenhoefer,0,919-555-0140,ed0@adventure-works.com,Production Technician - WC60,S,M
40,JoLynn,Dobney,0,903-555-0145,jolynn0@adventure-works.com,Production Supervisor - WC60,S,F
41,Bryan,Baker,0,712-555-0113,bryan0@adventure-works.com,Production Technician - WC60,S,M
42,James,Kramer,0,119-555-0117,james0@adventure-works.com,Production Technician - WC60,M,M
43,Nancy,Anderson,0,970-555-0118,nancy0@adventure-works.com,Production Technician - WC60,M,F
44,Simon,Rapier,0,963-555-0134,simon0@adventure-works.com,Production Technician - WC60,S,M
